"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Reynolds, Bryan",668804,2026,253,20.9,16.2,0.377,0.371,33.3,9.0,44.2,102.158734872,95.288010577,27.7,43.8
"Rafaela, Ceddanne",678882,2026,212,21.2,6.1,0.342,0.298,37.2,7.6,37.8,97.964313425,93.076876897,25.5,49.8
"Hoerner, Nico",663538,2026,268,7.5,10.1,0.315,0.335,38.2,1.4,26.7,95.681956262,91.843825187,10.9,42.3
"Keaschall, Luke",807712,2026,221,15.4,8.6,0.292,0.28,34.1,3.1,26.8,96.04642622,92.047895399,14.9,41.6
"Bohm, Alec",664761,2026,217,13.4,6.9,0.27,0.292,33.9,3.5,42.7,99.839040706,94.254762118,16.4,43.1
"Arraez, Luis",650333,2026,237,3.8,5.5,0.347,0.312,41.5,0.0,21.7,94.266933269,91.249017536,8.2,51.0
"Arozarena, Randy",668227,2026,250,22.8,9.2,0.37,0.343,37.0,7.4,42.6,100.37226,94.758254534,27.6,48.3
"Dingler, Dillon",693307,2026,216,21.3,9.3,0.34,0.385,40.3,12.6,47.9,101.302677778,95.29553021,21.5,47.0
"O'Hearn, Ryan",656811,2026,182,18.7,10.4,0.364,0.356,30.7,7.1,44.9,99.936821875,94.633386535,20.7,43.8
"Rice, Ben",700250,2026,224,22.8,12.9,0.443,0.409,42.3,17.6,52.1,102.667006901,95.935699718,26.1,40.9
"Kwan, Steven",680757,2026,234,10.7,14.5,0.28,0.297,35.3,0.6,8.7,91.219229036,89.783471212,8.4,34.8
"Lee, Brooks",686797,2026,213,17.8,6.6,0.314,0.269,33.3,4.4,28.3,96.270461026,92.136575833,20.8,51.3
"Collins, Isaac",686555,2026,184,26.1,13.0,0.307,0.304,34.3,8.3,40.7,100.104111111,94.221294074,26.7,38.3
"Duran, Jarren",680776,2026,233,28.3,6.9,0.298,0.303,31.1,11.6,40.5,102.124169726,95.318374069,34.3,47.5
"Bell, Josh",605137,2026,226,23.0,7.5,0.274,0.292,33.3,9.6,41.0,99.816528077,94.168740962,27.1,50.4
"Merrill, Jackson",701538,2026,225,24.9,8.9,0.269,0.316,37.8,10.2,45.9,100.358260274,94.55780069,28.1,54.5
"DeLauter, Chase",800050,2026,227,10.6,11.0,0.341,0.35,36.5,5.7,39.0,100.081147045,94.117365909,15.6,42.0
"Caminero, Junior",691406,2026,242,15.7,13.2,0.378,0.37,25.0,12.3,48.0,104.921652674,96.909805263,20.8,41.9
"Aranda, Jonathan",666018,2026,239,23.4,14.2,0.383,0.387,40.4,13.0,47.3,101.159080274,95.02502363,21.7,43.9
"Burger, Jake",669394,2026,228,27.2,5.7,0.316,0.305,33.6,9.9,48.7,103.039985263,95.917663684,36.3,51.5
"Rocchio, Brayan",677587,2026,212,11.8,9.4,0.351,0.319,32.1,3.1,32.5,97.299028974,92.695253097,22.9,47.6
"Lowe, Brandon",664040,2026,232,24.6,11.2,0.384,0.375,38.8,13.6,46.3,101.687896757,95.265970952,34.8,47.5
"Olson, Matt",621566,2026,260,23.1,10.8,0.386,0.386,34.5,15.9,51.5,104.858097059,97.153332235,24.2,45.4
"Nimmo, Brandon",607043,2026,246,19.9,8.9,0.339,0.391,34.7,12.9,51.2,101.920982588,95.872299529,22.6,48.1
"McNeil, Jeff",643446,2026,197,13.7,8.6,0.301,0.314,38.0,1.3,32.7,96.627278533,92.363578725,16.4,54.5
"Tovar, Ezequiel",678662,2026,213,25.4,6.1,0.273,0.31,38.2,8.3,37.5,99.534669296,93.849180282,29.6,61.1
