"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Rasmussen, Drew",656876,2026,236,23.3,5.1,0.269,0.289,29.2,7.7,33.3,75.308681807,93.568506061,23.5,48.5
"Gallen, Zac",668678,2026,261,16.1,6.9,0.357,0.355,32.2,10.6,45.2,80.210694949,95.192757929,18.6,46.5
"Kirby, George",669923,2026,300,19.7,5.7,0.306,0.294,28.8,5.4,41.9,78.567504144,94.255517919,20.7,51.4
"Imanaga, Shota",684007,2026,284,24.3,6.3,0.306,0.306,34.0,10.8,40.7,78.822072813,94.196405729,30.0,50.3
"Schlittler, Cam",693645,2026,275,29.5,4.7,0.218,0.255,33.1,6.6,39.2,75.852813708,93.951877978,28.8,54.8
"Martin, Davis",663436,2026,263,27.0,5.3,0.265,0.292,33.7,7.0,45.1,78.893025647,94.926228,28.4,50.0
"Weathers, Ryan",677960,2026,259,29.0,7.3,0.3,0.315,32.7,11.0,41.2,77.127134024,94.895017975,27.9,44.5
"Kochanowicz, Jack",686799,2026,272,16.5,11.4,0.304,0.348,29.8,7.0,42.9,79.10307871,94.781879622,23.9,45.6
"Cecconi, Slade",677944,2026,272,18.4,7.4,0.353,0.337,37.7,8.6,34.7,76.38226,93.733933265,20.6,46.8
"deGrom, Jacob",594798,2026,238,29.4,5.0,0.291,0.312,41.0,11.5,46.2,81.404228205,95.227882452,33.9,53.3
"Hancock, Emerson",676106,2026,251,25.1,6.0,0.281,0.319,31.8,9.5,42.9,78.620295357,94.769129464,23.8,52.6
"Elder, Bryce",693821,2026,293,20.8,7.5,0.264,0.284,33.7,3.4,38.9,79.693531667,94.236723186,23.2,47.7
"Peralta, Freddy",642547,2026,285,23.9,9.8,0.31,0.304,37.4,5.3,39.6,76.9670125,93.766819728,27.0,47.1
"Sale, Chris",519242,2026,265,30.2,6.4,0.255,0.284,35.8,6.8,29.6,75.926373827,92.880255155,30.0,50.4
