"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Bido, Osvaldo",674370,2025,29,"8","41.2",186,163,47,28,9,1,9,27,16,14.5,8.6,".288",".521",".349","0.870",".260",".483",".373",".350",".331",".223","71.9",24.7,13.5,10.6,35.9,28.2,"7.3",8,"90.5","19.5",32.6,11.3,39.7,"80.912357042","94.379520709",22.9,50.7
"Alcantara, Sandy",645261,2025,29,"8","36.2",168,145,39,25,7,0,7,31,21,18.5,12.5,".269",".462",".357","0.819",".285",".491",".360",".374",".373",".206","72.1",25,14,10.9,35.1,27.5,"7.3",7,"91.9","8.7",34.5,10.3,50,"81.780223966","95.527640345",24.1,46.1
"Holmes, Clay",605280,2025,32,"8","42.2",178,158,37,31,4,1,1,44,16,24.7,9,".234",".291",".309","0.600",".222",".334",".276",".287",".302",".111","71.6",20.4,14.5,11.8,32.4,26.3,"7.3",7,"89.3","5.8",31,5.2,40.5,"78.409798276","94.38548487",21.4,43.6
"Wheeler, Zack",554430,2025,35,"9","58.0",223,210,42,24,9,1,8,74,11,33.2,4.9,".200",".367",".247","0.614",".197",".331",".270",".252",".244",".134","71.8",25.4,12.5,8.9,27.9,19.8,"7.2",9,"88.5","15.3",36.8,8.1,36,"77.779799701","93.673041343",31.1,50.7
"Smith-Shawver, AJ",700363,2025,22,"6","32.2",138,122,29,21,5,0,3,34,15,24.6,10.9,".238",".352",".321","0.673",".288",".464",".305",".362",".366",".176","71.5",20.8,20.3,14.6,43.5,31.3,"7.5",3,"90.9","16.5",39.3,10.1,49.4,"79.0430925","95.902639545",28.6,45
"Woo, Bryan",693433,2025,25,"7","44.1",174,162,33,22,7,0,4,44,8,25.3,4.6,".204",".321",".243","0.564",".226",".368",".250",".278",".268",".142","71.3",21,10.7,8,30.8,23,"7",4,"88.1","16.8",34.7,6.6,37.2,"76.367112667","94.012601417",25.9,54.4
"Buehler, Walker",621111,2025,30,"6","33.2",140,127,32,22,5,0,5,29,9,20.7,6.4,".252",".409",".309","0.718",".255",".420",".318",".320",".312",".166","71.9",25.5,11.1,9.1,29.2,24,"7.5",5,"86.3","10.5",33.3,9.1,31.3,"74.054473265","93.503799794",19.4,45.8
"Wacha, Michael",608379,2025,33,"8","45.1",213,194,46,33,10,1,2,37,16,17.4,7.5,".237",".330",".292","0.622",".257",".399",".279",".310",".312",".142","72.2",26.5,13,10.5,30.5,24.7,"7.4",12,"87.1","14.4",38.4,5.7,34.6,"75.608832949","93.385377372",20.7,49.2
"Holmes, Grant",656550,2025,29,"8","39.1",186,162,33,20,4,0,9,44,21,23.7,11.3,".204",".395",".296","0.691",".249",".450",".307",".345",".338",".201","71.2",19.4,15.5,11.7,32.2,24.4,"7.4",7,"91","6.4",35.8,13.3,45,"80.822061167","95.233302167",24.7,47.7
"Soriano, José",667755,2025,26,"8","45.0",194,173,49,40,6,0,3,37,20,19.1,10.3,".283",".370",".356","0.726",".276",".398",".328",".333",".353",".122","72.2",24.9,20.5,15.4,40.5,30.5,"7.4",7,"91.3","-0.5",26.3,8.8,48.9,"79.666509403","96.016381791",25.3,44.4
"Rodriguez, Eduardo",593958,2025,32,"8","40.2",191,172,53,29,15,1,8,48,15,25.1,7.9,".308",".547",".358","0.905",".264",".462",".388",".341",".323",".198","72.4",33.9,16.7,12.6,34,25.5,"7.2",6,"88.7","18.2",37.5,9.4,38.3,"77.344370968","94.104003952",25.1,46.1
"Dollander, Chase",801403,2025,23,"6","28.0",152,132,34,21,4,0,9,32,16,21.1,10.5,".258",".492",".338","0.830",".270",".575",".361",".392",".352",".305","71.2",20.7,15.3,11.8,32.8,25.3,"7.1",7,"89.4","11.6",35.9,17.5,46.6,"77.07897","95.137441471",22.7,48.2
"Eovaldi, Nathan",543135,2025,35,"9","55.2",210,199,37,27,6,1,3,60,5,28.6,2.4,".186",".271",".220","0.491",".243",".400",".220",".295",".276",".157","72",24.5,14.6,10.4,33,23.5,"7.4",7,"90.6","7.9",34.8,7.1,41.1,"80.364081159","94.762998406",29.1,51.4
"Flaherty, Jack",656427,2025,29,"8","41.0",173,157,37,21,6,1,9,50,14,28.9,8.1,".236",".459",".301","0.760",".262",".486",".331",".348",".325",".224","71.9",23.5,16.5,12.1,32.1,23.5,"7.6",8,"90.4","15.4",45.4,12,40.7,"79.586796667","94.971154486",30.8,45.7
